사고유형_대분류,사고유형_중분류,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,18101,652,8943,8812,822
차대사람,차도통행중,4765,180,1944,2527,293
차대사람,길가장자리구역통행중,2705,41,816,1734,226
차대사람,보도통행중,2335,37,899,1398,170
차대사람,기타,18244,361,6258,11010,1554
차대차,정면충돌,7331,215,3952,8387,702
차대차,측면충돌,83508,553,23831,99758,8791
차대차,추돌,34981,379,9525,52907,4016
차대차,기타,44433,247,11521,49427,5312
차대차,후진중충돌,3075,1,339,3602,186
차량단독,공작물충돌,3586,318,1701,2218,776
차량단독,도로이탈,643,116,343,314,76
차량단독,주/정차차량 충돌,45,5,13,29,4
차량단독,기타,4509,108,1654,2804,655
차량단독,전도,1141,98,462,490,262
차량단독,전복,190,36,97,102,37
철길건널목,철길건널목,8,2,8,5,0
